Estimator,relationship,Relatedness_Value,,,
QGM,Full-Sibs,0.8658,0.5,,
QGM,Full-Sibs,0.3912,0.5,,Wilcoxon signed rank test
QGM,Full-Sibs,0.5914,0.5,,
QGM,Full-Sibs,0.4984,0.5,,data:  QGM_FS_Wilcoxon$Relatedness_Value and QGM_FS_Wilcoxon$...4
QGM,Full-Sibs,0.6865,0.5,,"V = 97186, p-value = 0.09765"
QGM,Full-Sibs,0.3819,0.5,,alternative hypothesis: true location shift is not equal to 0
QGM,Full-Sibs,0.5233,0.5,,95 percent confidence interval:
QGM,Full-Sibs,0.7118,0.5,, -0.00166164  0.02036439
QGM,Full-Sibs,0.4125,0.5,,sample estimates:
QGM,Full-Sibs,0.2297,0.5,,(pseudo)median 
QGM,Full-Sibs,0.4502,0.5,,0.009447233
QGM,Full-Sibs,0.4758,0.5,,
QGM,Full-Sibs,0.5671,0.5,,
QGM,Full-Sibs,0.6354,0.5,,0.5066925
QGM,Full-Sibs,0.5052,0.5,,0.133433843
QGM,Full-Sibs,0.5878,0.5,,0.010676735
QGM,Full-Sibs,0.1854,0.5,,
QGM,Full-Sibs,0.622,0.5,,
QGM,Full-Sibs,0.4645,0.5,,
QGM,Full-Sibs,0.5716,0.5,,
QGM,Full-Sibs,0.2992,0.5,,
QGM,Full-Sibs,0.4572,0.5,,
QGM,Full-Sibs,0.64,0.5,,
QGM,Full-Sibs,0.5289,0.5,,
QGM,Full-Sibs,0.4581,0.5,,
QGM,Full-Sibs,0.5437,0.5,,
QGM,Full-Sibs,0.664,0.5,,
QGM,Full-Sibs,0.5519,0.5,,
QGM,Full-Sibs,0.4911,0.5,,
QGM,Full-Sibs,0.4479,0.5,,
QGM,Full-Sibs,0.5384,0.5,,
QGM,Full-Sibs,0.7055,0.5,,
QGM,Full-Sibs,0.4532,0.5,,
QGM,Full-Sibs,0.4709,0.5,,
QGM,Full-Sibs,0.5973,0.5,,
QGM,Full-Sibs,0.5822,0.5,,
QGM,Full-Sibs,0.6977,0.5,,
QGM,Full-Sibs,0.532,0.5,,
QGM,Full-Sibs,0.5325,0.5,,
QGM,Full-Sibs,0.4386,0.5,,
QGM,Full-Sibs,0.4853,0.5,,
QGM,Full-Sibs,0.5905,0.5,,
QGM,Full-Sibs,0.457,0.5,,
QGM,Full-Sibs,0.5806,0.5,,
QGM,Full-Sibs,0.5923,0.5,,
QGM,Full-Sibs,0.5736,0.5,,
QGM,Full-Sibs,0.5941,0.5,,
QGM,Full-Sibs,0.4873,0.5,,
QGM,Full-Sibs,0.7088,0.5,,
QGM,Full-Sibs,0.5161,0.5,,
QGM,Full-Sibs,0.4979,0.5,,
QGM,Full-Sibs,0.5184,0.5,,
QGM,Full-Sibs,0.326,0.5,,
QGM,Full-Sibs,0.6593,0.5,,
QGM,Full-Sibs,0.5923,0.5,,
QGM,Full-Sibs,0.5168,0.5,,
QGM,Full-Sibs,0.5118,0.5,,
QGM,Full-Sibs,0.4649,0.5,,
QGM,Full-Sibs,0.4339,0.5,,
QGM,Full-Sibs,0.5349,0.5,,
QGM,Full-Sibs,0.4226,0.5,,
QGM,Full-Sibs,0.602,0.5,,
QGM,Full-Sibs,0.4764,0.5,,
QGM,Full-Sibs,0.5632,0.5,,
QGM,Full-Sibs,0.438,0.5,,
QGM,Full-Sibs,0.308,0.5,,
QGM,Full-Sibs,0.5979,0.5,,
QGM,Full-Sibs,0.6578,0.5,,
QGM,Full-Sibs,0.6137,0.5,,
QGM,Full-Sibs,0.5283,0.5,,
QGM,Full-Sibs,0.2394,0.5,,
QGM,Full-Sibs,0.5989,0.5,,
QGM,Full-Sibs,0.3293,0.5,,
QGM,Full-Sibs,0.5176,0.5,,
QGM,Full-Sibs,0.5205,0.5,,
QGM,Full-Sibs,0.6401,0.5,,
QGM,Full-Sibs,0.6019,0.5,,
QGM,Full-Sibs,0.4492,0.5,,
QGM,Full-Sibs,0.3503,0.5,,
QGM,Full-Sibs,0.4979,0.5,,
QGM,Full-Sibs,0.3865,0.5,,
QGM,Full-Sibs,0.6136,0.5,,
QGM,Full-Sibs,0.5958,0.5,,
QGM,Full-Sibs,0.5787,0.5,,
QGM,Full-Sibs,0.4464,0.5,,
QGM,Full-Sibs,0.4017,0.5,,
QGM,Full-Sibs,0.2639,0.5,,
QGM,Full-Sibs,0.2366,0.5,,
QGM,Full-Sibs,0.6679,0.5,,
QGM,Full-Sibs,0.4412,0.5,,
QGM,Full-Sibs,0.5322,0.5,,
QGM,Full-Sibs,0.5058,0.5,,
QGM,Full-Sibs,0.6333,0.5,,
QGM,Full-Sibs,0.6164,0.5,,
QGM,Full-Sibs,0.1281,0.5,,
QGM,Full-Sibs,0.6499,0.5,,
QGM,Full-Sibs,0.4137,0.5,,
QGM,Full-Sibs,0.5787,0.5,,
QGM,Full-Sibs,0.5386,0.5,,
QGM,Full-Sibs,0.3424,0.5,,
QGM,Full-Sibs,0.213,0.5,,
QGM,Full-Sibs,0.6795,0.5,,
QGM,Full-Sibs,0.3677,0.5,,
QGM,Full-Sibs,0.531,0.5,,
QGM,Full-Sibs,0.52,0.5,,
QGM,Full-Sibs,0.6597,0.5,,
QGM,Full-Sibs,0.5703,0.5,,
QGM,Full-Sibs,0.6561,0.5,,
QGM,Full-Sibs,0.5901,0.5,,
QGM,Full-Sibs,0.7169,0.5,,
QGM,Full-Sibs,0.2324,0.5,,
QGM,Full-Sibs,0.5037,0.5,,
QGM,Full-Sibs,0.2328,0.5,,
QGM,Full-Sibs,0.6309,0.5,,
QGM,Full-Sibs,0.5943,0.5,,
QGM,Full-Sibs,0.5637,0.5,,
QGM,Full-Sibs,0.5669,0.5,,
QGM,Full-Sibs,0.5982,0.5,,
QGM,Full-Sibs,0.5765,0.5,,
QGM,Full-Sibs,0.6784,0.5,,
QGM,Full-Sibs,0.4186,0.5,,
QGM,Full-Sibs,0.4873,0.5,,
QGM,Full-Sibs,0.5316,0.5,,
QGM,Full-Sibs,0.4305,0.5,,
QGM,Full-Sibs,0.5011,0.5,,
QGM,Full-Sibs,0.697,0.5,,
QGM,Full-Sibs,0.4279,0.5,,
QGM,Full-Sibs,0.4247,0.5,,
QGM,Full-Sibs,0.4348,0.5,,
QGM,Full-Sibs,0.5696,0.5,,
QGM,Full-Sibs,0.5192,0.5,,
QGM,Full-Sibs,0.5645,0.5,,
QGM,Full-Sibs,0.4443,0.5,,
QGM,Full-Sibs,0.4952,0.5,,
QGM,Full-Sibs,0.6174,0.5,,
QGM,Full-Sibs,0.5861,0.5,,
QGM,Full-Sibs,0.0914,0.5,,
QGM,Full-Sibs,0.1035,0.5,,
QGM,Full-Sibs,0.5662,0.5,,
QGM,Full-Sibs,0.4855,0.5,,
QGM,Full-Sibs,0.5765,0.5,,
QGM,Full-Sibs,0.4436,0.5,,
QGM,Full-Sibs,0.5523,0.5,,
QGM,Full-Sibs,0.4377,0.5,,
QGM,Full-Sibs,0.4621,0.5,,
QGM,Full-Sibs,0.5004,0.5,,
QGM,Full-Sibs,0.3996,0.5,,
QGM,Full-Sibs,0.6736,0.5,,
QGM,Full-Sibs,0.4534,0.5,,
QGM,Full-Sibs,0.4945,0.5,,
QGM,Full-Sibs,0.6621,0.5,,
QGM,Full-Sibs,0.7269,0.5,,
QGM,Full-Sibs,0.5271,0.5,,
QGM,Full-Sibs,0.4858,0.5,,
QGM,Full-Sibs,0.3927,0.5,,
QGM,Full-Sibs,0.4584,0.5,,
QGM,Full-Sibs,0.6658,0.5,,
QGM,Full-Sibs,0.5311,0.5,,
QGM,Full-Sibs,0.3082,0.5,,
QGM,Full-Sibs,0.4667,0.5,,
QGM,Full-Sibs,0.5894,0.5,,
QGM,Full-Sibs,0.5869,0.5,,
QGM,Full-Sibs,0.4752,0.5,,
QGM,Full-Sibs,0.2753,0.5,,
QGM,Full-Sibs,0.5768,0.5,,
QGM,Full-Sibs,0.6293,0.5,,
QGM,Full-Sibs,0.381,0.5,,
QGM,Full-Sibs,0.5191,0.5,,
QGM,Full-Sibs,0.6183,0.5,,
QGM,Full-Sibs,0.5206,0.5,,
QGM,Full-Sibs,0.4816,0.5,,
QGM,Full-Sibs,0.5639,0.5,,
QGM,Full-Sibs,0.6172,0.5,,
QGM,Full-Sibs,0.6544,0.5,,
QGM,Full-Sibs,0.2783,0.5,,
QGM,Full-Sibs,0.4809,0.5,,
QGM,Full-Sibs,0.5349,0.5,,
QGM,Full-Sibs,0.4963,0.5,,
QGM,Full-Sibs,0.4598,0.5,,
QGM,Full-Sibs,0.4328,0.5,,
QGM,Full-Sibs,0.2308,0.5,,
QGM,Full-Sibs,0.468,0.5,,
QGM,Full-Sibs,0.5227,0.5,,
QGM,Full-Sibs,0.6399,0.5,,
QGM,Full-Sibs,0.7299,0.5,,
QGM,Full-Sibs,0.289,0.5,,
QGM,Full-Sibs,0.4588,0.5,,
QGM,Full-Sibs,0.433,0.5,,
QGM,Full-Sibs,0.6209,0.5,,
QGM,Full-Sibs,0.5248,0.5,,
QGM,Full-Sibs,0.4931,0.5,,
QGM,Full-Sibs,0.1933,0.5,,
QGM,Full-Sibs,0.6575,0.5,,
QGM,Full-Sibs,0.6668,0.5,,
QGM,Full-Sibs,0.4275,0.5,,
QGM,Full-Sibs,0.6631,0.5,,
QGM,Full-Sibs,0.4765,0.5,,
QGM,Full-Sibs,0.5434,0.5,,
QGM,Full-Sibs,0.4943,0.5,,
QGM,Full-Sibs,0.7827,0.5,,
QGM,Full-Sibs,0.3553,0.5,,
QGM,Full-Sibs,0.4531,0.5,,
QGM,Full-Sibs,0.4496,0.5,,
QGM,Full-Sibs,0.5588,0.5,,
QGM,Full-Sibs,0.2856,0.5,,
QGM,Full-Sibs,0.5408,0.5,,
QGM,Full-Sibs,0.591,0.5,,
QGM,Full-Sibs,0.5676,0.5,,
QGM,Full-Sibs,0.5125,0.5,,
QGM,Full-Sibs,0.643,0.5,,
QGM,Full-Sibs,0.6742,0.5,,
QGM,Full-Sibs,0.5337,0.5,,
QGM,Full-Sibs,0.4479,0.5,,
QGM,Full-Sibs,0.6256,0.5,,
QGM,Full-Sibs,0.4875,0.5,,
QGM,Full-Sibs,0.5086,0.5,,
QGM,Full-Sibs,0.3869,0.5,,
QGM,Full-Sibs,0.498,0.5,,
QGM,Full-Sibs,0.3221,0.5,,
QGM,Full-Sibs,0.3678,0.5,,
QGM,Full-Sibs,0.6444,0.5,,
QGM,Full-Sibs,0.7023,0.5,,
QGM,Full-Sibs,0.4407,0.5,,
QGM,Full-Sibs,0.865,0.5,,
QGM,Full-Sibs,0.614,0.5,,
QGM,Full-Sibs,0.5347,0.5,,
QGM,Full-Sibs,0.7041,0.5,,
QGM,Full-Sibs,0.2813,0.5,,
QGM,Full-Sibs,0.5304,0.5,,
QGM,Full-Sibs,0.4447,0.5,,
QGM,Full-Sibs,0.4927,0.5,,
QGM,Full-Sibs,0.382,0.5,,
QGM,Full-Sibs,0.2637,0.5,,
QGM,Full-Sibs,0.2494,0.5,,
QGM,Full-Sibs,0.5254,0.5,,
QGM,Full-Sibs,0.6128,0.5,,
QGM,Full-Sibs,0.4358,0.5,,
QGM,Full-Sibs,0.4604,0.5,,
QGM,Full-Sibs,0.5255,0.5,,
QGM,Full-Sibs,0.5285,0.5,,
QGM,Full-Sibs,0.6303,0.5,,
QGM,Full-Sibs,0.482,0.5,,
QGM,Full-Sibs,0.5679,0.5,,
QGM,Full-Sibs,0.4175,0.5,,
QGM,Full-Sibs,0.5985,0.5,,
QGM,Full-Sibs,0.3536,0.5,,
QGM,Full-Sibs,0.3649,0.5,,
QGM,Full-Sibs,0.671,0.5,,
QGM,Full-Sibs,0.4922,0.5,,
QGM,Full-Sibs,0.6106,0.5,,
QGM,Full-Sibs,0.6882,0.5,,
QGM,Full-Sibs,0.4005,0.5,,
QGM,Full-Sibs,0.5427,0.5,,
QGM,Full-Sibs,0.5169,0.5,,
QGM,Full-Sibs,0.8377,0.5,,
QGM,Full-Sibs,0.5452,0.5,,
QGM,Full-Sibs,0.6053,0.5,,
QGM,Full-Sibs,0.6163,0.5,,
QGM,Full-Sibs,0.236,0.5,,
QGM,Full-Sibs,0.4644,0.5,,
QGM,Full-Sibs,0.4086,0.5,,
QGM,Full-Sibs,0.3253,0.5,,
QGM,Full-Sibs,0.317,0.5,,
QGM,Full-Sibs,0.3786,0.5,,
QGM,Full-Sibs,0.319,0.5,,
QGM,Full-Sibs,0.3588,0.5,,
QGM,Full-Sibs,0.5074,0.5,,
QGM,Full-Sibs,0.4198,0.5,,
QGM,Full-Sibs,0.5152,0.5,,
QGM,Full-Sibs,0.7445,0.5,,
QGM,Full-Sibs,0.5403,0.5,,
QGM,Full-Sibs,0.3768,0.5,,
QGM,Full-Sibs,0.3788,0.5,,
QGM,Full-Sibs,0.556,0.5,,
QGM,Full-Sibs,0.394,0.5,,
QGM,Full-Sibs,0.2109,0.5,,
QGM,Full-Sibs,0.5307,0.5,,
QGM,Full-Sibs,0.4271,0.5,,
QGM,Full-Sibs,0.4321,0.5,,
QGM,Full-Sibs,0.6059,0.5,,
QGM,Full-Sibs,0.6373,0.5,,
QGM,Full-Sibs,0.4461,0.5,,
QGM,Full-Sibs,0.3497,0.5,,
QGM,Full-Sibs,0.3282,0.5,,
QGM,Full-Sibs,0.6559,0.5,,
QGM,Full-Sibs,0.3881,0.5,,
QGM,Full-Sibs,0.5679,0.5,,
QGM,Full-Sibs,0.4789,0.5,,
QGM,Full-Sibs,0.6471,0.5,,
QGM,Full-Sibs,0.2183,0.5,,
QGM,Full-Sibs,0.548,0.5,,
QGM,Full-Sibs,0.6833,0.5,,
QGM,Full-Sibs,0.3813,0.5,,
QGM,Full-Sibs,0.7483,0.5,,
QGM,Full-Sibs,0.4087,0.5,,
QGM,Full-Sibs,0.3309,0.5,,
QGM,Full-Sibs,0.6512,0.5,,
QGM,Full-Sibs,0.5959,0.5,,
QGM,Full-Sibs,0.5566,0.5,,
QGM,Full-Sibs,0.3926,0.5,,
QGM,Full-Sibs,0.4758,0.5,,
QGM,Full-Sibs,0.3653,0.5,,
QGM,Full-Sibs,0.366,0.5,,
QGM,Full-Sibs,0.3972,0.5,,
QGM,Full-Sibs,0.5721,0.5,,
QGM,Full-Sibs,0.5125,0.5,,
QGM,Full-Sibs,0.5998,0.5,,
QGM,Full-Sibs,0.531,0.5,,
QGM,Full-Sibs,0.5466,0.5,,
QGM,Full-Sibs,0.3468,0.5,,
QGM,Full-Sibs,0.7108,0.5,,
QGM,Full-Sibs,0.6574,0.5,,
QGM,Full-Sibs,0.622,0.5,,
QGM,Full-Sibs,0.7185,0.5,,
QGM,Full-Sibs,0.3802,0.5,,
QGM,Full-Sibs,0.5263,0.5,,
QGM,Full-Sibs,0.7313,0.5,,
QGM,Full-Sibs,0.5612,0.5,,
QGM,Full-Sibs,0.3557,0.5,,
QGM,Full-Sibs,0.4385,0.5,,
QGM,Full-Sibs,0.4826,0.5,,
QGM,Full-Sibs,0.6,0.5,,
QGM,Full-Sibs,0.5555,0.5,,
QGM,Full-Sibs,0.5418,0.5,,
QGM,Full-Sibs,0.5435,0.5,,
QGM,Full-Sibs,0.6378,0.5,,
QGM,Full-Sibs,0.4283,0.5,,
QGM,Full-Sibs,0.5511,0.5,,
QGM,Full-Sibs,0.3655,0.5,,
QGM,Full-Sibs,0.6416,0.5,,
QGM,Full-Sibs,0.6182,0.5,,
QGM,Full-Sibs,0.4943,0.5,,
QGM,Full-Sibs,0.5326,0.5,,
QGM,Full-Sibs,0.3579,0.5,,
QGM,Full-Sibs,0.6128,0.5,,
QGM,Full-Sibs,0.5277,0.5,,
QGM,Full-Sibs,0.5539,0.5,,
QGM,Full-Sibs,0.4813,0.5,,
QGM,Full-Sibs,0.497,0.5,,
QGM,Full-Sibs,0.4101,0.5,,
QGM,Full-Sibs,0.2396,0.5,,
QGM,Full-Sibs,0.5412,0.5,,
QGM,Full-Sibs,0.5197,0.5,,
QGM,Full-Sibs,0.3509,0.5,,
QGM,Full-Sibs,0.5401,0.5,,
QGM,Full-Sibs,0.5232,0.5,,
QGM,Full-Sibs,0.6605,0.5,,
QGM,Full-Sibs,0.4255,0.5,,
QGM,Full-Sibs,0.3892,0.5,,
QGM,Full-Sibs,0.6204,0.5,,
QGM,Full-Sibs,0.7038,0.5,,
QGM,Full-Sibs,0.6846,0.5,,
QGM,Full-Sibs,0.7609,0.5,,
QGM,Full-Sibs,0.2314,0.5,,
QGM,Full-Sibs,0.4092,0.5,,
QGM,Full-Sibs,0.6656,0.5,,
QGM,Full-Sibs,0.4246,0.5,,
QGM,Full-Sibs,0.3124,0.5,,
QGM,Full-Sibs,0.2641,0.5,,
QGM,Full-Sibs,0.5351,0.5,,
QGM,Full-Sibs,0.3477,0.5,,
QGM,Full-Sibs,0.6154,0.5,,
QGM,Full-Sibs,0.5544,0.5,,
QGM,Full-Sibs,0.6319,0.5,,
QGM,Full-Sibs,0.5136,0.5,,
QGM,Full-Sibs,0.3525,0.5,,
QGM,Full-Sibs,0.5862,0.5,,
QGM,Full-Sibs,0.3586,0.5,,
QGM,Full-Sibs,0.4797,0.5,,
QGM,Full-Sibs,0.5834,0.5,,
QGM,Full-Sibs,0.6416,0.5,,
QGM,Full-Sibs,0.5979,0.5,,
QGM,Full-Sibs,0.6267,0.5,,
QGM,Full-Sibs,0.7325,0.5,,
QGM,Full-Sibs,0.6495,0.5,,
QGM,Full-Sibs,0.4218,0.5,,
QGM,Full-Sibs,0.4018,0.5,,
QGM,Full-Sibs,0.5948,0.5,,
QGM,Full-Sibs,0.5516,0.5,,
QGM,Full-Sibs,0.7143,0.5,,
QGM,Full-Sibs,0.4755,0.5,,
QGM,Full-Sibs,0.3423,0.5,,
QGM,Full-Sibs,0.5184,0.5,,
QGM,Full-Sibs,0.6162,0.5,,
QGM,Full-Sibs,0.3175,0.5,,
QGM,Full-Sibs,0.2971,0.5,,
QGM,Full-Sibs,0.5124,0.5,,
QGM,Full-Sibs,0.6872,0.5,,
QGM,Full-Sibs,0.6722,0.5,,
QGM,Full-Sibs,0.7077,0.5,,
QGM,Full-Sibs,0.3551,0.5,,
QGM,Full-Sibs,0.1051,0.5,,
QGM,Full-Sibs,0.593,0.5,,
QGM,Full-Sibs,0.7,0.5,,
QGM,Full-Sibs,0.565,0.5,,
QGM,Full-Sibs,0.3568,0.5,,
QGM,Full-Sibs,0.4113,0.5,,
QGM,Full-Sibs,0.6125,0.5,,
QGM,Full-Sibs,0.5068,0.5,,
QGM,Full-Sibs,0.6401,0.5,,
QGM,Full-Sibs,0.5434,0.5,,
QGM,Full-Sibs,0.3656,0.5,,
QGM,Full-Sibs,0.3543,0.5,,
QGM,Full-Sibs,0.463,0.5,,
QGM,Full-Sibs,0.285,0.5,,
QGM,Full-Sibs,0.6493,0.5,,
QGM,Full-Sibs,0.4237,0.5,,
QGM,Full-Sibs,0.4646,0.5,,
QGM,Full-Sibs,0.4596,0.5,,
QGM,Full-Sibs,0.4575,0.5,,
QGM,Full-Sibs,0.6183,0.5,,
QGM,Full-Sibs,0.4459,0.5,,
QGM,Full-Sibs,0.4336,0.5,,
QGM,Full-Sibs,0.537,0.5,,
QGM,Full-Sibs,0.186,0.5,,
QGM,Full-Sibs,0.3703,0.5,,
QGM,Full-Sibs,0.5999,0.5,,
QGM,Full-Sibs,0.4742,0.5,,
QGM,Full-Sibs,0.7966,0.5,,
QGM,Full-Sibs,0.2936,0.5,,
QGM,Full-Sibs,0.4512,0.5,,
QGM,Full-Sibs,0.5078,0.5,,
QGM,Full-Sibs,0.6161,0.5,,
QGM,Full-Sibs,0.3785,0.5,,
QGM,Full-Sibs,0.5306,0.5,,
QGM,Full-Sibs,0.4026,0.5,,
QGM,Full-Sibs,0.6762,0.5,,
QGM,Full-Sibs,0.5324,0.5,,
QGM,Full-Sibs,0.4996,0.5,,
QGM,Full-Sibs,0.4812,0.5,,
QGM,Full-Sibs,0.7686,0.5,,
QGM,Full-Sibs,0.6138,0.5,,
QGM,Full-Sibs,0.5523,0.5,,
QGM,Full-Sibs,0.4105,0.5,,
QGM,Full-Sibs,0.4148,0.5,,
QGM,Full-Sibs,0.192,0.5,,
QGM,Full-Sibs,0.407,0.5,,
QGM,Full-Sibs,0.4845,0.5,,
QGM,Full-Sibs,0.5232,0.5,,
QGM,Full-Sibs,0.3129,0.5,,
QGM,Full-Sibs,0.6981,0.5,,
QGM,Full-Sibs,0.4822,0.5,,
QGM,Full-Sibs,0.7401,0.5,,
QGM,Full-Sibs,0.5799,0.5,,
QGM,Full-Sibs,0.3819,0.5,,
QGM,Full-Sibs,0.617,0.5,,
QGM,Full-Sibs,0.7326,0.5,,
QGM,Full-Sibs,0.5751,0.5,,
QGM,Full-Sibs,0.4864,0.5,,
QGM,Full-Sibs,0.4272,0.5,,
QGM,Full-Sibs,0.4149,0.5,,
QGM,Full-Sibs,0.3422,0.5,,
QGM,Full-Sibs,0.7539,0.5,,
QGM,Full-Sibs,0.4291,0.5,,
QGM,Full-Sibs,0.2551,0.5,,
QGM,Full-Sibs,0.3748,0.5,,
QGM,Full-Sibs,0.5448,0.5,,
QGM,Full-Sibs,0.51,0.5,,
QGM,Full-Sibs,0.5978,0.5,,
QGM,Full-Sibs,0.548,0.5,,
QGM,Full-Sibs,0.6366,0.5,,
QGM,Full-Sibs,0.4325,0.5,,
QGM,Full-Sibs,0.7528,0.5,,
QGM,Full-Sibs,0.6637,0.5,,
QGM,Full-Sibs,0.2941,0.5,,
QGM,Full-Sibs,0.64,0.5,,
QGM,Full-Sibs,0.6254,0.5,,
QGM,Full-Sibs,0.4473,0.5,,
QGM,Full-Sibs,0.4968,0.5,,
QGM,Full-Sibs,0.5841,0.5,,
QGM,Full-Sibs,0.7523,0.5,,
QGM,Full-Sibs,0.3878,0.5,,
QGM,Full-Sibs,0.3301,0.5,,
QGM,Full-Sibs,0.6593,0.5,,
QGM,Full-Sibs,0.3589,0.5,,
QGM,Full-Sibs,0.4427,0.5,,
QGM,Full-Sibs,0.372,0.5,,
QGM,Full-Sibs,0.4322,0.5,,
QGM,Full-Sibs,0.4613,0.5,,
QGM,Full-Sibs,0.5569,0.5,,
QGM,Full-Sibs,0.4266,0.5,,
QGM,Full-Sibs,0.4953,0.5,,
QGM,Full-Sibs,0.412,0.5,,
QGM,Full-Sibs,0.3517,0.5,,
QGM,Full-Sibs,0.3328,0.5,,
QGM,Full-Sibs,0.7805,0.5,,
QGM,Full-Sibs,0.4727,0.5,,
QGM,Full-Sibs,0.3624,0.5,,
QGM,Full-Sibs,0.5217,0.5,,
QGM,Full-Sibs,0.5521,0.5,,
QGM,Full-Sibs,0.5485,0.5,,
QGM,Full-Sibs,0.7859,0.5,,
QGM,Full-Sibs,0.5585,0.5,,
QGM,Full-Sibs,0.3243,0.5,,
QGM,Full-Sibs,0.7177,0.5,,
QGM,Full-Sibs,0.6614,0.5,,
QGM,Full-Sibs,0.5123,0.5,,
QGM,Full-Sibs,0.578,0.5,,
QGM,Full-Sibs,0.5036,0.5,,
QGM,Full-Sibs,0.2325,0.5,,
QGM,Full-Sibs,0.3211,0.5,,
QGM,Full-Sibs,0.3841,0.5,,
QGM,Full-Sibs,0.3963,0.5,,
QGM,Full-Sibs,0.5352,0.5,,
QGM,Full-Sibs,0.6476,0.5,,
QGM,Full-Sibs,0.5523,0.5,,
QGM,Full-Sibs,0.393,0.5,,
QGM,Full-Sibs,0.4308,0.5,,
QGM,Full-Sibs,0.3859,0.5,,
QGM,Full-Sibs,0.4012,0.5,,
QGM,Full-Sibs,0.79,0.5,,
QGM,Full-Sibs,0.481,0.5,,
QGM,Full-Sibs,0.5686,0.5,,
QGM,Full-Sibs,0.5954,0.5,,
QGM,Full-Sibs,0.4798,0.5,,
QGM,Full-Sibs,0.7496,0.5,,
QGM,Full-Sibs,0.535,0.5,,
QGM,Full-Sibs,0.6176,0.5,,
QGM,Full-Sibs,0.5112,0.5,,
QGM,Full-Sibs,0.4465,0.5,,
QGM,Full-Sibs,0.5378,0.5,,
QGM,Full-Sibs,0.591,0.5,,
QGM,Full-Sibs,0.588,0.5,,
QGM,Full-Sibs,0.5787,0.5,,
QGM,Full-Sibs,0.6,0.5,,
QGM,Full-Sibs,0.5944,0.5,,
QGM,Full-Sibs,0.657,0.5,,
QGM,Full-Sibs,0.5761,0.5,,
QGM,Full-Sibs,0.5026,0.5,,
QGM,Full-Sibs,0.6076,0.5,,
QGM,Full-Sibs,0.6331,0.5,,
QGM,Full-Sibs,0.8,0.5,,
QGM,Full-Sibs,0.521,0.5,,
QGM,Full-Sibs,0.7197,0.5,,
QGM,Full-Sibs,0.3775,0.5,,
QGM,Full-Sibs,0.5533,0.5,,
QGM,Full-Sibs,0.356,0.5,,
QGM,Full-Sibs,0.5372,0.5,,
QGM,Full-Sibs,0.3728,0.5,,
QGM,Full-Sibs,0.5165,0.5,,
QGM,Full-Sibs,0.638,0.5,,
QGM,Full-Sibs,0.5231,0.5,,
QGM,Full-Sibs,0.4153,0.5,,
QGM,Full-Sibs,0.6687,0.5,,
QGM,Full-Sibs,0.412,0.5,,
QGM,Full-Sibs,0.626,0.5,,
QGM,Full-Sibs,0.6171,0.5,,
QGM,Full-Sibs,0.6169,0.5,,
QGM,Full-Sibs,0.5053,0.5,,
QGM,Full-Sibs,0.4044,0.5,,
QGM,Full-Sibs,0.3537,0.5,,
QGM,Full-Sibs,0.4163,0.5,,
QGM,Full-Sibs,0.5103,0.5,,
QGM,Full-Sibs,0.3216,0.5,,
QGM,Full-Sibs,0.578,0.5,,
QGM,Full-Sibs,0.4883,0.5,,
QGM,Full-Sibs,0.5042,0.5,,
QGM,Full-Sibs,0.4891,0.5,,
QGM,Full-Sibs,0.736,0.5,,
QGM,Full-Sibs,0.3929,0.5,,
QGM,Full-Sibs,0.7101,0.5,,
QGM,Full-Sibs,0.6522,0.5,,
QGM,Full-Sibs,0.567,0.5,,
QGM,Full-Sibs,0.3415,0.5,,
QGM,Full-Sibs,0.3836,0.5,,
QGM,Full-Sibs,0.6351,0.5,,
QGM,Full-Sibs,0.5552,0.5,,
QGM,Full-Sibs,0.539,0.5,,
QGM,Full-Sibs,0.4314,0.5,,
QGM,Full-Sibs,0.3405,0.5,,
QGM,Full-Sibs,0.6441,0.5,,
QGM,Full-Sibs,0.6519,0.5,,
QGM,Full-Sibs,0.2917,0.5,,
QGM,Full-Sibs,0.3218,0.5,,
QGM,Full-Sibs,0.4133,0.5,,
QGM,Full-Sibs,0.3116,0.5,,
QGM,Full-Sibs,0.3992,0.5,,
QGM,Full-Sibs,0.4531,0.5,,
QGM,Full-Sibs,0.3075,0.5,,
QGM,Full-Sibs,0.4566,0.5,,
QGM,Full-Sibs,0.302,0.5,,
QGM,Full-Sibs,0.5717,0.5,,
QGM,Full-Sibs,0.5056,0.5,,
QGM,Full-Sibs,0.3073,0.5,,
QGM,Full-Sibs,0.7832,0.5,,
QGM,Full-Sibs,0.5303,0.5,,
QGM,Full-Sibs,0.5865,0.5,,
QGM,Full-Sibs,0.8152,0.5,,
QGM,Full-Sibs,0.5166,0.5,,
QGM,Full-Sibs,0.1968,0.5,,
QGM,Full-Sibs,0.6004,0.5,,
QGM,Full-Sibs,0.329,0.5,,
QGM,Full-Sibs,0.2695,0.5,,
QGM,Full-Sibs,0.6701,0.5,,
QGM,Full-Sibs,0.6005,0.5,,
QGM,Full-Sibs,0.4759,0.5,,
QGM,Full-Sibs,0.4262,0.5,,
QGM,Full-Sibs,0.3404,0.5,,
QGM,Full-Sibs,0.7113,0.5,,
QGM,Full-Sibs,0.4975,0.5,,