Estimator,relationship,Relatedness_Value,,,,
QGM,Unrelated,0.1844,0,,,
QGM,Unrelated,-0.0302,0,,,
QGM,Unrelated,0.0978,0,,,Wilcoxon signed rank test
QGM,Unrelated,-0.1778,0,,,
QGM,Unrelated,0.0037,0,,data:  QGM_UR_Wilcoxon$Relatedness_Value and QGM_UR_Wilcoxon$...4,
QGM,Unrelated,0.1471,0,,"V = 90646, p-value = 0.907",
QGM,Unrelated,0.1223,0,,alternative hypothesis: true location shift is not equal to 0,
QGM,Unrelated,0.2206,0,,95 percent confidence interval:,
QGM,Unrelated,-0.1035,0,, -0.01192098  0.01351143,
QGM,Unrelated,-0.1958,0,,sample estimates:,
QGM,Unrelated,0.0091,0,,(pseudo)median ,
QGM,Unrelated,0.0535,0,,0.000809672,
QGM,Unrelated,0.1239,0,,,
QGM,Unrelated,0.0524,0,,0.152552324,
QGM,Unrelated,0.1756,0,,0.012206504,
QGM,Unrelated,0.0282,0,,,
QGM,Unrelated,0.1315,0,,,
QGM,Unrelated,0.2012,0,,,
QGM,Unrelated,-0.0911,0,,,
QGM,Unrelated,-0.1913,0,,,
QGM,Unrelated,0.0932,0,,,
QGM,Unrelated,0.0029,0,,,
QGM,Unrelated,-0.1157,0,,,
QGM,Unrelated,0.0691,0,,,
QGM,Unrelated,0.0995,0,,,
QGM,Unrelated,-0.1193,0,,,
QGM,Unrelated,0.0344,0,,,
QGM,Unrelated,0.0462,0,,,
QGM,Unrelated,-0.014,0,,,
QGM,Unrelated,0.1288,0,,,
QGM,Unrelated,0.0622,0,,,
QGM,Unrelated,0.0019,0,,,
QGM,Unrelated,0.0879,0,,,
QGM,Unrelated,0.1458,0,,,
QGM,Unrelated,0.2473,0,,,
QGM,Unrelated,-0.1631,0,,,
QGM,Unrelated,-0.1134,0,,,
QGM,Unrelated,0.0044,0,,,
QGM,Unrelated,-0.1527,0,,,
QGM,Unrelated,0.113,0,,,
QGM,Unrelated,-0.1137,0,,,
QGM,Unrelated,0.0278,0,,,
QGM,Unrelated,-0.1332,0,,,
QGM,Unrelated,0.096,0,,,
QGM,Unrelated,-0.014,0,,,
QGM,Unrelated,-0.1627,0,,,
QGM,Unrelated,-0.3632,0,,,
QGM,Unrelated,0.0546,0,,,
QGM,Unrelated,0.186,0,,,
QGM,Unrelated,-0.1699,0,,,
QGM,Unrelated,0.0671,0,,,
QGM,Unrelated,0.0138,0,,,
QGM,Unrelated,0.1896,0,,,
QGM,Unrelated,-0.1086,0,,,
QGM,Unrelated,0.1547,0,,,
QGM,Unrelated,0.2541,0,,,
QGM,Unrelated,0.3245,0,,,
QGM,Unrelated,0.0319,0,,,
QGM,Unrelated,0.1111,0,,,
QGM,Unrelated,-0.0425,0,,,
QGM,Unrelated,0.0793,0,,,
QGM,Unrelated,-0.1603,0,,,
QGM,Unrelated,-0.2707,0,,,
QGM,Unrelated,0.0608,0,,,
QGM,Unrelated,0.0223,0,,,
QGM,Unrelated,0.0241,0,,,
QGM,Unrelated,0.1009,0,,,
QGM,Unrelated,0.096,0,,,
QGM,Unrelated,0.1002,0,,,
QGM,Unrelated,0.2301,0,,,
QGM,Unrelated,0.2634,0,,,
QGM,Unrelated,-0.147,0,,,
QGM,Unrelated,-0.0995,0,,,
QGM,Unrelated,-0.2129,0,,,
QGM,Unrelated,-0.0262,0,,,
QGM,Unrelated,0.1545,0,,,
QGM,Unrelated,-0.1546,0,,,
QGM,Unrelated,-0.0547,0,,,
QGM,Unrelated,-0.0507,0,,,
QGM,Unrelated,-0.0355,0,,,
QGM,Unrelated,0.2045,0,,,
QGM,Unrelated,0.121,0,,,
QGM,Unrelated,0.0583,0,,,
QGM,Unrelated,-0.0243,0,,,
QGM,Unrelated,-0.0067,0,,,
QGM,Unrelated,0.1175,0,,,
QGM,Unrelated,-0.1674,0,,,
QGM,Unrelated,-0.215,0,,,
QGM,Unrelated,-0.0144,0,,,
QGM,Unrelated,0.0565,0,,,
QGM,Unrelated,-0.2653,0,,,
QGM,Unrelated,-0.0026,0,,,
QGM,Unrelated,0.3158,0,,,
QGM,Unrelated,0.1976,0,,,
QGM,Unrelated,-0.1378,0,,,
QGM,Unrelated,-0.0855,0,,,
QGM,Unrelated,0.0288,0,,,
QGM,Unrelated,0.0424,0,,,
QGM,Unrelated,-0.1566,0,,,
QGM,Unrelated,-0.1382,0,,,
QGM,Unrelated,0.1115,0,,,
QGM,Unrelated,0.0209,0,,,
QGM,Unrelated,0.0549,0,,,
QGM,Unrelated,-0.099,0,,,
QGM,Unrelated,0.0443,0,,,
QGM,Unrelated,0.0038,0,,,
QGM,Unrelated,0.0196,0,,,
QGM,Unrelated,-0.1836,0,,,
QGM,Unrelated,0.2613,0,,,
QGM,Unrelated,-0.0902,0,,,
QGM,Unrelated,0.0204,0,,,
QGM,Unrelated,0.0552,0,,,
QGM,Unrelated,0.1561,0,,,
QGM,Unrelated,0.2508,0,,,
QGM,Unrelated,-0.0507,0,,,
QGM,Unrelated,-0.2282,0,,,
QGM,Unrelated,-0.0139,0,,,
QGM,Unrelated,-0.015,0,,,
QGM,Unrelated,-0.3385,0,,,
QGM,Unrelated,-0.2248,0,,,
QGM,Unrelated,-0.0846,0,,,
QGM,Unrelated,-0.034,0,,,
QGM,Unrelated,0.0476,0,,,
QGM,Unrelated,-0.0619,0,,,
QGM,Unrelated,-0.1515,0,,,
QGM,Unrelated,-0.3633,0,,,
QGM,Unrelated,0.2489,0,,,
QGM,Unrelated,0.0734,0,,,
QGM,Unrelated,0.1994,0,,,
QGM,Unrelated,-0.1676,0,,,
QGM,Unrelated,-0.1271,0,,,
QGM,Unrelated,0.0705,0,,,
QGM,Unrelated,0.2277,0,,,
QGM,Unrelated,-0.1732,0,,,
QGM,Unrelated,-0.1662,0,,,
QGM,Unrelated,0.1085,0,,,
QGM,Unrelated,-0.285,0,,,
QGM,Unrelated,-0.0372,0,,,
QGM,Unrelated,0.1289,0,,,
QGM,Unrelated,0.0698,0,,,
QGM,Unrelated,-0.0148,0,,,
QGM,Unrelated,0.082,0,,,
QGM,Unrelated,0.0304,0,,,
QGM,Unrelated,0.2327,0,,,
QGM,Unrelated,-0.0735,0,,,
QGM,Unrelated,-0.0124,0,,,
QGM,Unrelated,0.0811,0,,,
QGM,Unrelated,-0.144,0,,,
QGM,Unrelated,0.1036,0,,,
QGM,Unrelated,0.2034,0,,,
QGM,Unrelated,-0.0645,0,,,
QGM,Unrelated,-0.0858,0,,,
QGM,Unrelated,-0.2355,0,,,
QGM,Unrelated,0.0526,0,,,
QGM,Unrelated,-0.0955,0,,,
QGM,Unrelated,-0.1564,0,,,
QGM,Unrelated,0.2606,0,,,
QGM,Unrelated,-0.229,0,,,
QGM,Unrelated,0.2072,0,,,
QGM,Unrelated,-0.122,0,,,
QGM,Unrelated,0.2788,0,,,
QGM,Unrelated,-0.1759,0,,,
QGM,Unrelated,0.0321,0,,,
QGM,Unrelated,-0.0983,0,,,
QGM,Unrelated,-0.0574,0,,,
QGM,Unrelated,-0.0975,0,,,
QGM,Unrelated,-0.0659,0,,,
QGM,Unrelated,-0.0608,0,,,
QGM,Unrelated,-0.0622,0,,,
QGM,Unrelated,0.2022,0,,,
QGM,Unrelated,0.1216,0,,,
QGM,Unrelated,-0.0536,0,,,
QGM,Unrelated,-0.1046,0,,,
QGM,Unrelated,-0.0902,0,,,
QGM,Unrelated,0.1269,0,,,
QGM,Unrelated,-0.2067,0,,,
QGM,Unrelated,0.1997,0,,,
QGM,Unrelated,-0.1359,0,,,
QGM,Unrelated,-0.0707,0,,,
QGM,Unrelated,-0.0967,0,,,
QGM,Unrelated,-0.1521,0,,,
QGM,Unrelated,0.3009,0,,,
QGM,Unrelated,0.0689,0,,,
QGM,Unrelated,0.1908,0,,,
QGM,Unrelated,0.1554,0,,,
QGM,Unrelated,0.1242,0,,,
QGM,Unrelated,-0.0261,0,,,
QGM,Unrelated,-0.1476,0,,,
QGM,Unrelated,-0.0737,0,,,
QGM,Unrelated,-0.1203,0,,,
QGM,Unrelated,0.1816,0,,,
QGM,Unrelated,-0.0387,0,,,
QGM,Unrelated,0.0249,0,,,
QGM,Unrelated,-0.106,0,,,
QGM,Unrelated,-0.079,0,,,
QGM,Unrelated,0.1248,0,,,
QGM,Unrelated,0.1684,0,,,
QGM,Unrelated,0.0483,0,,,
QGM,Unrelated,0.0417,0,,,
QGM,Unrelated,0.2238,0,,,
QGM,Unrelated,0.1251,0,,,
QGM,Unrelated,0.149,0,,,
QGM,Unrelated,0.1032,0,,,
QGM,Unrelated,-0.1151,0,,,
QGM,Unrelated,0.1698,0,,,
QGM,Unrelated,0.135,0,,,
QGM,Unrelated,0.0254,0,,,
QGM,Unrelated,-0.129,0,,,
QGM,Unrelated,0.2331,0,,,
QGM,Unrelated,0.264,0,,,
QGM,Unrelated,0.0556,0,,,
QGM,Unrelated,0.0376,0,,,
QGM,Unrelated,0.1289,0,,,
QGM,Unrelated,0.3388,0,,,
QGM,Unrelated,-0.256,0,,,
QGM,Unrelated,0.1407,0,,,
QGM,Unrelated,-0.0292,0,,,
QGM,Unrelated,-0.0887,0,,,
QGM,Unrelated,-0.0463,0,,,
QGM,Unrelated,0.0709,0,,,
QGM,Unrelated,-0.0446,0,,,
QGM,Unrelated,0.0102,0,,,
QGM,Unrelated,-0.1071,0,,,
QGM,Unrelated,-0.1736,0,,,
QGM,Unrelated,0.1032,0,,,
QGM,Unrelated,0.1073,0,,,
QGM,Unrelated,-0.0795,0,,,
QGM,Unrelated,-0.2086,0,,,
QGM,Unrelated,0.2722,0,,,
QGM,Unrelated,-0.2243,0,,,
QGM,Unrelated,0.0135,0,,,
QGM,Unrelated,0.1001,0,,,
QGM,Unrelated,-0.1713,0,,,
QGM,Unrelated,0.1327,0,,,
QGM,Unrelated,0.2893,0,,,
QGM,Unrelated,0.0172,0,,,
QGM,Unrelated,-0.1612,0,,,
QGM,Unrelated,-0.2348,0,,,
QGM,Unrelated,0.1593,0,,,
QGM,Unrelated,0.3166,0,,,
QGM,Unrelated,0.206,0,,,
QGM,Unrelated,-0.0333,0,,,
QGM,Unrelated,-0.101,0,,,
QGM,Unrelated,-0.1696,0,,,
QGM,Unrelated,-0.0801,0,,,
QGM,Unrelated,-0.0176,0,,,
QGM,Unrelated,-0.0778,0,,,
QGM,Unrelated,0.102,0,,,
QGM,Unrelated,0.0526,0,,,
QGM,Unrelated,-0.115,0,,,
QGM,Unrelated,-0.2277,0,,,
QGM,Unrelated,0.1896,0,,,
QGM,Unrelated,-0.1974,0,,,
QGM,Unrelated,-0.2759,0,,,
QGM,Unrelated,0.0733,0,,,
QGM,Unrelated,0.103,0,,,
QGM,Unrelated,-0.1392,0,,,
QGM,Unrelated,0.211,0,,,
QGM,Unrelated,-0.0172,0,,,
QGM,Unrelated,-0.0208,0,,,
QGM,Unrelated,0.1645,0,,,
QGM,Unrelated,0.0566,0,,,
QGM,Unrelated,0.0339,0,,,
QGM,Unrelated,0.1044,0,,,
QGM,Unrelated,0.0699,0,,,
QGM,Unrelated,0.3649,0,,,
QGM,Unrelated,0.0753,0,,,
QGM,Unrelated,0.2983,0,,,
QGM,Unrelated,0.1186,0,,,
QGM,Unrelated,-0.0415,0,,,
QGM,Unrelated,-0.301,0,,,
QGM,Unrelated,0.2776,0,,,
QGM,Unrelated,-0.0854,0,,,
QGM,Unrelated,-0.1678,0,,,
QGM,Unrelated,-0.0615,0,,,
QGM,Unrelated,0.0841,0,,,
QGM,Unrelated,-0.113,0,,,
QGM,Unrelated,0.1495,0,,,
QGM,Unrelated,-0.154,0,,,
QGM,Unrelated,0.1526,0,,,
QGM,Unrelated,0.0602,0,,,
QGM,Unrelated,-0.0059,0,,,
QGM,Unrelated,-0.0586,0,,,
QGM,Unrelated,0.2808,0,,,
QGM,Unrelated,-0.0795,0,,,
QGM,Unrelated,-0.0283,0,,,
QGM,Unrelated,-0.2147,0,,,
QGM,Unrelated,-0.2231,0,,,
QGM,Unrelated,-0.1961,0,,,
QGM,Unrelated,0.0535,0,,,
QGM,Unrelated,0.1344,0,,,
QGM,Unrelated,-0.14,0,,,
QGM,Unrelated,0.0956,0,,,
QGM,Unrelated,0.0287,0,,,
QGM,Unrelated,0.0249,0,,,
QGM,Unrelated,-0.0236,0,,,
QGM,Unrelated,0.1616,0,,,
QGM,Unrelated,0.37,0,,,
QGM,Unrelated,-0.0459,0,,,
QGM,Unrelated,-0.1411,0,,,
QGM,Unrelated,0.1023,0,,,
QGM,Unrelated,0.0364,0,,,
QGM,Unrelated,-0.0794,0,,,
QGM,Unrelated,-0.2131,0,,,
QGM,Unrelated,-0.2378,0,,,
QGM,Unrelated,0.0425,0,,,
QGM,Unrelated,0.155,0,,,
QGM,Unrelated,0.2134,0,,,
QGM,Unrelated,-0.206,0,,,
QGM,Unrelated,0.2201,0,,,
QGM,Unrelated,-0.0893,0,,,
QGM,Unrelated,-0.0488,0,,,
QGM,Unrelated,0.3804,0,,,
QGM,Unrelated,-0.0393,0,,,
QGM,Unrelated,0.2854,0,,,
QGM,Unrelated,0.0798,0,,,
QGM,Unrelated,-0.186,0,,,
QGM,Unrelated,-0.3162,0,,,
QGM,Unrelated,0.1282,0,,,
QGM,Unrelated,0.1754,0,,,
QGM,Unrelated,-0.1641,0,,,
QGM,Unrelated,-0.0227,0,,,
QGM,Unrelated,-0.1593,0,,,
QGM,Unrelated,0.0938,0,,,
QGM,Unrelated,0.1825,0,,,
QGM,Unrelated,0.0717,0,,,
QGM,Unrelated,-0.2022,0,,,
QGM,Unrelated,-0.0352,0,,,
QGM,Unrelated,-0.169,0,,,
QGM,Unrelated,0.1788,0,,,
QGM,Unrelated,-0.0831,0,,,
QGM,Unrelated,-0.1632,0,,,
QGM,Unrelated,0.116,0,,,
QGM,Unrelated,-0.1115,0,,,
QGM,Unrelated,-0.201,0,,,
QGM,Unrelated,-0.1063,0,,,
QGM,Unrelated,-0.134,0,,,
QGM,Unrelated,-0.2183,0,,,
QGM,Unrelated,0.2308,0,,,
QGM,Unrelated,0.0492,0,,,
QGM,Unrelated,0.0974,0,,,
QGM,Unrelated,-0.0515,0,,,
QGM,Unrelated,-0.0986,0,,,
QGM,Unrelated,0.0714,0,,,
QGM,Unrelated,0.1028,0,,,
QGM,Unrelated,0.2525,0,,,
QGM,Unrelated,-0.0441,0,,,
QGM,Unrelated,-0.0456,0,,,
QGM,Unrelated,-0.0361,0,,,
QGM,Unrelated,-0.0604,0,,,
QGM,Unrelated,0.2035,0,,,
QGM,Unrelated,-0.0637,0,,,
QGM,Unrelated,0.0923,0,,,
QGM,Unrelated,0.0214,0,,,
QGM,Unrelated,0.0968,0,,,
QGM,Unrelated,-0.2389,0,,,
QGM,Unrelated,0.0028,0,,,
QGM,Unrelated,-0.3611,0,,,
QGM,Unrelated,-0.0332,0,,,
QGM,Unrelated,-0.1086,0,,,
QGM,Unrelated,0.3921,0,,,
QGM,Unrelated,-0.468,0,,,
QGM,Unrelated,0.0336,0,,,
QGM,Unrelated,-0.1626,0,,,
QGM,Unrelated,-0.0778,0,,,
QGM,Unrelated,-0.1348,0,,,
QGM,Unrelated,0.0168,0,,,
QGM,Unrelated,-0.0159,0,,,
QGM,Unrelated,-0.0911,0,,,
QGM,Unrelated,-0.1605,0,,,
QGM,Unrelated,0.231,0,,,
QGM,Unrelated,0.0357,0,,,
QGM,Unrelated,-0.2397,0,,,
QGM,Unrelated,-0.0268,0,,,
QGM,Unrelated,-0.3896,0,,,
QGM,Unrelated,-0.0767,0,,,
QGM,Unrelated,-0.0115,0,,,
QGM,Unrelated,-0.0847,0,,,
QGM,Unrelated,-0.1136,0,,,
QGM,Unrelated,0.0683,0,,,
QGM,Unrelated,0.2094,0,,,
QGM,Unrelated,0.1944,0,,,
QGM,Unrelated,-0.0733,0,,,
QGM,Unrelated,0.0339,0,,,
QGM,Unrelated,0.1637,0,,,
QGM,Unrelated,0.0148,0,,,
QGM,Unrelated,-0.0538,0,,,
QGM,Unrelated,0.1303,0,,,
QGM,Unrelated,0.2128,0,,,
QGM,Unrelated,-0.0979,0,,,
QGM,Unrelated,-0.0522,0,,,
QGM,Unrelated,-0.0894,0,,,
QGM,Unrelated,-0.1922,0,,,
QGM,Unrelated,-0.0427,0,,,
QGM,Unrelated,-0.0923,0,,,
QGM,Unrelated,-0.0549,0,,,
QGM,Unrelated,0.0916,0,,,
QGM,Unrelated,-0.268,0,,,
QGM,Unrelated,0.247,0,,,
QGM,Unrelated,-0.0596,0,,,
QGM,Unrelated,-0.0646,0,,,
QGM,Unrelated,-0.0606,0,,,
QGM,Unrelated,-0.1861,0,,,
QGM,Unrelated,0.3115,0,,,
QGM,Unrelated,0.0138,0,,,
QGM,Unrelated,-0.0665,0,,,
QGM,Unrelated,-0.0292,0,,,
QGM,Unrelated,-0.0809,0,,,
QGM,Unrelated,0.1608,0,,,
QGM,Unrelated,0.0345,0,,,
QGM,Unrelated,-0.2142,0,,,
QGM,Unrelated,0.2815,0,,,
QGM,Unrelated,0.0069,0,,,
QGM,Unrelated,0.1027,0,,,
QGM,Unrelated,-0.062,0,,,
QGM,Unrelated,-0.0302,0,,,
QGM,Unrelated,0.1202,0,,,
QGM,Unrelated,0.1,0,,,
QGM,Unrelated,-0.0122,0,,,
QGM,Unrelated,-0.1938,0,,,
QGM,Unrelated,-0.1537,0,,,
QGM,Unrelated,0.1514,0,,,
QGM,Unrelated,0.2031,0,,,
QGM,Unrelated,0.0916,0,,,
QGM,Unrelated,-0.2368,0,,,
QGM,Unrelated,-0.3102,0,,,
QGM,Unrelated,0.012,0,,,
QGM,Unrelated,-0.0555,0,,,
QGM,Unrelated,-0.4057,0,,,
QGM,Unrelated,0.0017,0,,,
QGM,Unrelated,-0.2065,0,,,
QGM,Unrelated,0.0346,0,,,
QGM,Unrelated,-0.0906,0,,,
QGM,Unrelated,-0.0206,0,,,
QGM,Unrelated,0.077,0,,,
QGM,Unrelated,-0.0118,0,,,
QGM,Unrelated,-0.0553,0,,,
QGM,Unrelated,0.0499,0,,,
QGM,Unrelated,0.2533,0,,,
QGM,Unrelated,-0.2126,0,,,
QGM,Unrelated,0.0741,0,,,
QGM,Unrelated,0.225,0,,,
QGM,Unrelated,0.1717,0,,,
QGM,Unrelated,0.3997,0,,,
QGM,Unrelated,0.007,0,,,
QGM,Unrelated,0.0877,0,,,
QGM,Unrelated,0.0287,0,,,
QGM,Unrelated,0.0259,0,,,
QGM,Unrelated,0.1607,0,,,
QGM,Unrelated,-0.2088,0,,,
QGM,Unrelated,-0.0179,0,,,
QGM,Unrelated,-0.2715,0,,,
QGM,Unrelated,0.0099,0,,,
QGM,Unrelated,-0.0316,0,,,
QGM,Unrelated,0.1759,0,,,
QGM,Unrelated,-0.0309,0,,,
QGM,Unrelated,-0.0349,0,,,
QGM,Unrelated,-0.1935,0,,,
QGM,Unrelated,0.1542,0,,,
QGM,Unrelated,-0.2887,0,,,
QGM,Unrelated,0.0711,0,,,
QGM,Unrelated,0.1508,0,,,
QGM,Unrelated,0.1939,0,,,
QGM,Unrelated,-0.1002,0,,,
QGM,Unrelated,0.2273,0,,,
QGM,Unrelated,0.0303,0,,,
QGM,Unrelated,-0.063,0,,,
QGM,Unrelated,-0.176,0,,,
QGM,Unrelated,0.0601,0,,,
QGM,Unrelated,-0.0517,0,,,
QGM,Unrelated,-0.489,0,,,
QGM,Unrelated,-0.1152,0,,,
QGM,Unrelated,0.109,0,,,
QGM,Unrelated,-0.1742,0,,,
QGM,Unrelated,-0.1519,0,,,
QGM,Unrelated,0.2513,0,,,
QGM,Unrelated,0.1975,0,,,
QGM,Unrelated,-0.0179,0,,,
QGM,Unrelated,0.0575,0,,,
QGM,Unrelated,-0.2192,0,,,
QGM,Unrelated,-0.0711,0,,,
QGM,Unrelated,-0.0225,0,,,
QGM,Unrelated,-0.2813,0,,,
QGM,Unrelated,-0.2117,0,,,
QGM,Unrelated,-0.0251,0,,,
QGM,Unrelated,0.0697,0,,,
QGM,Unrelated,-0.2587,0,,,
QGM,Unrelated,-0.0623,0,,,
QGM,Unrelated,-0.1118,0,,,
QGM,Unrelated,-0.0222,0,,,
QGM,Unrelated,0.1878,0,,,
QGM,Unrelated,-0.0402,0,,,
QGM,Unrelated,-0.0693,0,,,
QGM,Unrelated,0.1544,0,,,
QGM,Unrelated,0.1207,0,,,
QGM,Unrelated,0.1713,0,,,
QGM,Unrelated,-0.0594,0,,,
QGM,Unrelated,-0.3004,0,,,
QGM,Unrelated,0.0811,0,,,
QGM,Unrelated,0.0747,0,,,
QGM,Unrelated,-0.2897,0,,,
QGM,Unrelated,-0.129,0,,,
QGM,Unrelated,-0.1018,0,,,
QGM,Unrelated,0.0425,0,,,
QGM,Unrelated,0.0688,0,,,
QGM,Unrelated,0.0483,0,,,
QGM,Unrelated,0.0504,0,,,
QGM,Unrelated,0.0127,0,,,
QGM,Unrelated,-0.0815,0,,,
QGM,Unrelated,-0.1446,0,,,
QGM,Unrelated,0.0697,0,,,
QGM,Unrelated,0.2009,0,,,
QGM,Unrelated,0.2088,0,,,
QGM,Unrelated,-0.1555,0,,,
QGM,Unrelated,0.221,0,,,
QGM,Unrelated,-0.151,0,,,
QGM,Unrelated,-0.0385,0,,,
QGM,Unrelated,-0.1194,0,,,
QGM,Unrelated,-0.1636,0,,,
QGM,Unrelated,0.0468,0,,,
QGM,Unrelated,8.00E-04,0,,,
QGM,Unrelated,0.0732,0,,,
QGM,Unrelated,-0.0602,0,,,
QGM,Unrelated,0.0699,0,,,
QGM,Unrelated,0.2093,0,,,
QGM,Unrelated,-0.0423,0,,,
QGM,Unrelated,0.0799,0,,,
QGM,Unrelated,-0.0419,0,,,
QGM,Unrelated,0.0246,0,,,
QGM,Unrelated,0.1541,0,,,
QGM,Unrelated,-0.1015,0,,,
QGM,Unrelated,0.1907,0,,,
QGM,Unrelated,-0.2949,0,,,
QGM,Unrelated,0.1255,0,,,
QGM,Unrelated,-0.148,0,,,
QGM,Unrelated,-0.1904,0,,,
QGM,Unrelated,-0.1659,0,,,
QGM,Unrelated,-0.2289,0,,,
QGM,Unrelated,0.0438,0,,,
QGM,Unrelated,-0.1585,0,,,
QGM,Unrelated,0.2302,0,,,
QGM,Unrelated,-0.1089,0,,,
QGM,Unrelated,-0.1676,0,,,
QGM,Unrelated,-0.0374,0,,,
QGM,Unrelated,0.0344,0,,,
QGM,Unrelated,0.0702,0,,,
QGM,Unrelated,0.0808,0,,,
QGM,Unrelated,0.0498,0,,,
QGM,Unrelated,-0.1896,0,,,
QGM,Unrelated,-0.2623,0,,,
QGM,Unrelated,-0.1997,0,,,
QGM,Unrelated,-0.256,0,,,
QGM,Unrelated,0.2228,0,,,
QGM,Unrelated,0.0368,0,,,
QGM,Unrelated,-0.249,0,,,
QGM,Unrelated,-0.0245,0,,,
QGM,Unrelated,-0.1015,0,,,
QGM,Unrelated,0.0195,0,,,
QGM,Unrelated,0.0693,0,,,
QGM,Unrelated,0.0268,0,,,
QGM,Unrelated,0.1776,0,,,
QGM,Unrelated,0.1094,0,,,
QGM,Unrelated,0.2556,0,,,
QGM,Unrelated,0.4211,0,,,
QGM,Unrelated,0.0385,0,,,
QGM,Unrelated,-0.0209,0,,,
QGM,Unrelated,0.1083,0,,,
QGM,Unrelated,0.1323,0,,,
QGM,Unrelated,0.1298,0,,,
QGM,Unrelated,-0.0584,0,,,
QGM,Unrelated,-0.1495,0,,,
QGM,Unrelated,0.1159,0,,,
QGM,Unrelated,0.077,0,,,
QGM,Unrelated,-0.075,0,,,
QGM,Unrelated,0.0504,0,,,
QGM,Unrelated,-0.1014,0,,,
QGM,Unrelated,0.126,0,,,
QGM,Unrelated,0.0817,0,,,
QGM,Unrelated,-0.0025,0,,,
QGM,Unrelated,0.0089,0,,,
QGM,Unrelated,-0.0304,0,,,
QGM,Unrelated,0.2064,0,,,
QGM,Unrelated,-0.1046,0,,,
QGM,Unrelated,0.0315,0,,,
QGM,Unrelated,0.074,0,,,
QGM,Unrelated,0.2144,0,,,
QGM,Unrelated,0.1585,0,,,
QGM,Unrelated,-0.1794,0,,,
QGM,Unrelated,-0.1197,0,,,
QGM,Unrelated,-0.2145,0,,,
QGM,Unrelated,-0.0197,0,,,
QGM,Unrelated,0.1102,0,,,
QGM,Unrelated,0.1505,0,,,
QGM,Unrelated,-0.0919,0,,,
QGM,Unrelated,-0.0218,0,,,
QGM,Unrelated,0.2051,0,,,
QGM,Unrelated,0.0043,0,,,
QGM,Unrelated,-0.0371,0,,,
QGM,Unrelated,-0.1301,0,,,
QGM,Unrelated,0.0541,0,,,